"Collar","Sample ID","Geol_From","Geol_To","Thickness","Chk","Comments","Lab","Dispatch_ID","Lab_Certificate","Dispatch_Date","Drill_Sample_Type","Sample_Mass","Sampler","Samp_Date","AuCheck_ppm_Au-AA23","AuCheck_ppm_Au-AA24","AuCheck_ppm_Au-GRA22","RecvdWt_kg_WEI-21"
"JES-25-113","676088","123.525","125.05","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.515","MartinNovara","17/04/2025","","","","7.52"
"JES-25-113","676089","125.05","126.575","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.74","MartinNovara","17/04/2025","","","","7.74"
"JES-25-113","676090","126.575","128.1","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","13.69","MartinNovara","17/04/2025","","","","13.71"
"JES-25-113","676091","128.1","129.625","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","7.725","MartinNovara","17/04/2025","","","","7.74"
"JES-25-113","676092","129.625","131.15","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.18","MartinNovara","17/04/2025","","","","10.39"
"JES-25-113","676093","131.15","132.675","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","2.81","MartinNovara","17/04/2025","","","","2.65"
"JES-25-113","676095","132.675","134.2","1.52","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","11.16","MartinNovara","17/04/2025","","","","10.3"
"JES-25-113","676096","134.2","135.725","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","8.905","MartinNovara","17/04/2025","","","","8.85"
"JES-25-113","676097","135.725","137.25","1.53","1","","ALS","PIL-087","HE25108554 - Finalized","10/04/2025","Chips_QuarterSplit","12.745","MartinNovara","17/04/2025","","","","11.75"
"JES-25-115","676221","0","1.525","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","2.07","Yuvitza.Davila","14/04/2025","","","","2.03"
"JES-25-115","676222","1.525","3.05","1.53","1","","ALS","PIL-089","HE25108557 - Finalized","14/04/2025","Chips_QuarterSplit","3.08","Yuvitza.Davila","14/04/2025","","","","3.05"
